scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,meanPlayerFlourishGained,meanEnemyFlourishGained,effectLimitHits,exceptions
B02_BREAK_H__VS__B05_SPELL_H,B02_BREAK_H,B05_SPELL_H,H,A_PLAYER,1000,196,483,321,0.3565,0,1.974,2,225.302,278.847,0.218,0.556,0,0,5.771,3,15.668,0,0,0,0,0
B05_SPELL_H__VS__B02_BREAK_H,B05_SPELL_H,B02_BREAK_H,H,B_PLAYER,1000,839,15,146,0.912,0,1.749,2,279.873,223.058,1.21,0.015,0,0,3,5.008,0,14.018,0,0,0,0
B02_BREAK_H__VS__B06_REFRESH_H,B02_BREAK_H,B06_REFRESH_H,H,A_PLAYER,1000,104,582,314,0.261,0,2.029,2,227.096,280.864,0.109,0.702,0,0,5.841,2,15.776,0,0,0,0,0
B06_REFRESH_H__VS__B02_BREAK_H,B06_REFRESH_H,B02_BREAK_H,H,B_PLAYER,1000,989,1,10,0.994,0,2.003,2,280.608,226.007,1.542,0.001,0,0,2,5.006,0,14.012,0,0,0,0
B03_SUMMON_H__VS__B04_DEATH_H,B03_SUMMON_H,B04_DEATH_H,H,A_PLAYER,1000,97,520,383,0.2885,0,1.011,1,285.796,758.108,0.115,0.567,0,0,0,0,7.658,40.134,3.465,0,0,0
B04_DEATH_H__VS__B03_SUMMON_H,B04_DEATH_H,B03_SUMMON_H,H,B_PLAYER,1000,335,107,558,0.614,0,1,1,853.851,300.878,0.343,0.107,0,0,0,0,42.502,8,0,3.41,0,0
B03_SUMMON_H__VS__B05_SPELL_H,B03_SUMMON_H,B05_SPELL_H,H,A_PLAYER,1000,37,543,420,0.247,0,1,1,269.444,374.318,0.037,0.649,0,0,0,3,8,0,3.414,0,0,0
B05_SPELL_H__VS__B03_SUMMON_H,B05_SPELL_H,B03_SUMMON_H,H,B_PLAYER,1000,623,31,346,0.796,0,1,1,374.736,260.785,0.829,0.031,0,0,3,0,0,6.408,0,3.174,0,0
B03_SUMMON_H__VS__B06_REFRESH_H,B03_SUMMON_H,B06_REFRESH_H,H,A_PLAYER,1000,111,348,541,0.3815,0,1,1,275.758,391.323,0.111,0.352,0,0,0,2,8,0,3.416,0,0,0
B06_REFRESH_H__VS__B03_SUMMON_H,B06_REFRESH_H,B03_SUMMON_H,H,B_PLAYER,1000,566,46,388,0.76,0,1,1,393.388,267.126,0.75,0.046,0,0,2,0,0,6.408,0,3.182,0,0
B04_DEATH_H__VS__B05_SPELL_H,B04_DEATH_H,B05_SPELL_H,H,A_PLAYER,1000,786,29,185,0.8785,0,1.553,2,437.235,283.211,0.944,0.03,0,0,0,3,44.454,0,0,0,0,0
B05_SPELL_H__VS__B04_DEATH_H,B05_SPELL_H,B04_DEATH_H,H,B_PLAYER,1000,69,655,276,0.207,0,1.699,2,275.838,427.998,0.075,0.765,0,0,3,0,0,38.82,0,0,0,0
B04_DEATH_H__VS__B06_REFRESH_H,B04_DEATH_H,B06_REFRESH_H,H,A_PLAYER,1000,782,21,197,0.8805,0,1.584,2,481.762,289.605,0.904,0.021,0,0,0,2,46.146,0,0,0,0,0
B06_REFRESH_H__VS__B04_DEATH_H,B06_REFRESH_H,B04_DEATH_H,H,B_PLAYER,1000,49,650,301,0.1995,0,1.759,2,284.167,458.062,0.051,0.749,0,0,2,0,0,45.422,0,0,0,0
B05_SPELL_H__VS__B06_REFRESH_H,B05_SPELL_H,B06_REFRESH_H,H,A_PLAYER,1000,0,699,301,0.1505,0,1.71,2,288.684,266.157,0,0.87,0,0,3,2,0,0,0,0,0,0
B06_REFRESH_H__VS__B05_SPELL_H,B06_REFRESH_H,B05_SPELL_H,H,B_PLAYER,1000,814,0,186,0.907,0,1.728,2,265.676,281.16,1.108,0,0,0,2,3,0,0,0,0,0,0
B01_SHIELD_N__VS__D00_OUTPUT_DUMMY,B01_SHIELD_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,1000,1000,0,0,1,0,22.191,23,120.534,0,5,0,0,0,0,0,2,0,0,0,0,0
B01_SHIELD_N__VS__D01_MECHANIC_PRESSURE_N,B01_SHIELD_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,1000,0,1000,0,0,0,2.006,2,137.749,76.752,0,5,0,0,5.067,0,9.395,0,0,0,0,0
B02_BREAK_N__VS__D00_OUTPUT_DUMMY,B02_BREAK_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,1000,1000,0,0,1,0,18.949,19,142,0,5,0,0,0,0,0,1,0,0,0,0,0
