scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,meanPlayerFlourishGained,meanEnemyFlourishGained,effectLimitHits,exceptions
B06_REFRESH_H__VS__B02_BREAK_H,B06_REFRESH_H,B02_BREAK_H,H,B_PLAYER,1000,113,677,210,0.218,0,2.076,2,170.568,210.214,0.13,1.056,0,0,5,6.065,0,9,0,0,0,0
B03_SUMMON_H__VS__B04_DEATH_H,B03_SUMMON_H,B04_DEATH_H,H,A_PLAYER,1000,963,17,20,0.973,0,1.082,1,154.925,315.955,2.24,0.018,0,0,0,0,7.836,30.74,0.99,0,0,0
B04_DEATH_H__VS__B03_SUMMON_H,B04_DEATH_H,B03_SUMMON_H,H,B_PLAYER,1000,15,968,17,0.0235,0,1.041,1,364.858,156.682,0.015,2.246,0,0,0,0,33.076,7.668,0,0.959,0,0
B03_SUMMON_H__VS__B05_SPELL_H,B03_SUMMON_H,B05_SPELL_H,H,A_PLAYER,1000,418,313,269,0.5525,0,1.025,1,195.904,271.502,0.599,0.489,0,0,0,2,7.68,0,0.917,0,0,0
B05_SPELL_H__VS__B03_SUMMON_H,B05_SPELL_H,B03_SUMMON_H,H,B_PLAYER,1000,444,324,232,0.56,0,1.031,1,275.216,191.402,0.79,0.455,0,0,2,0,0,6.988,0,0.766,0,0
B03_SUMMON_H__VS__B06_REFRESH_H,B03_SUMMON_H,B06_REFRESH_H,H,A_PLAYER,1000,505,299,196,0.603,0,1.082,1,213.8,217.68,0.687,0.473,0,0,0,5,7.532,0,1,0,0,0
B06_REFRESH_H__VS__B03_SUMMON_H,B06_REFRESH_H,B03_SUMMON_H,H,B_PLAYER,1000,359,446,195,0.4565,0,1.094,1,218.472,211.054,0.61,0.618,0,0,5,0,0,6.912,0,0.974,0,0
B04_DEATH_H__VS__B05_SPELL_H,B04_DEATH_H,B05_SPELL_H,H,A_PLAYER,1000,28,731,241,0.1485,0,1.106,2,293.423,194.287,0.028,0.979,0,0,0,2,35.148,0,0,0,0,0
B05_SPELL_H__VS__B04_DEATH_H,B05_SPELL_H,B04_DEATH_H,H,B_PLAYER,1000,766,26,208,0.87,0,1.146,2,186.449,272.819,1.182,0.026,0,0,2,0,0,33.93,0,0,0,0
B04_DEATH_H__VS__B06_REFRESH_H,B04_DEATH_H,B06_REFRESH_H,H,A_PLAYER,1000,0,992,8,0.004,0,1.089,1,338.386,158.296,0,2.011,0,0,0,4.905,34.704,0,0,0,0,0
B06_REFRESH_H__VS__B04_DEATH_H,B06_REFRESH_H,B04_DEATH_H,H,B_PLAYER,1000,991,0,9,0.9955,0,1.118,2,156.176,322.303,2.151,0,0,0,4.911,0,0,34.05,0,0,0,0
B05_SPELL_H__VS__B06_REFRESH_H,B05_SPELL_H,B06_REFRESH_H,H,A_PLAYER,1000,228,284,488,0.472,0,2.015,2,236.839,176.796,0.238,0.305,0,0,2,5,0,0,0,0,0,0
B06_REFRESH_H__VS__B05_SPELL_H,B06_REFRESH_H,B05_SPELL_H,H,B_PLAYER,1000,367,201,432,0.583,0,2.001,2,178.512,239.274,0.409,0.213,0,0,5,2,0,0,0,0,0,0
B01_SHIELD_N__VS__D00_OUTPUT_DUMMY,B01_SHIELD_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,1000,278,0,722,0.639,0.722,29.992,30,85.176,0,5,1.054,0,0,0,0,2,0,0,0,0,0
B01_SHIELD_N__VS__D01_MECHANIC_PRESSURE_N,B01_SHIELD_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,1000,0,1000,0,0,0,2.039,2,92.413,79.272,0,5,0,0,7.167,0,2,0,0,0,0,0
B02_BREAK_N__VS__D00_OUTPUT_DUMMY,B02_BREAK_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,1000,1000,0,0,1,0,29.268,30,90,0,5,0,0,0,0,0,0,0,0,0,0,0
B02_BREAK_N__VS__D01_MECHANIC_PRESSURE_N,B02_BREAK_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,1000,0,1000,0,0,0,2,2,123.843,79.328,0,5,0,0,5,0,4,0,0,0,0,0
B03_SUMMON_N__VS__D00_OUTPUT_DUMMY,B03_SUMMON_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,1000,0,0,1000,0.5,1,30,30,81.881,0,5,2.507,0,0,0,0,0,0,0,0,0,0
