aggregate_id,source,map_id,map_name,floor,node_id,node_type,combat_index,route_tag,event_id,event_name,encounter_id,encounter_name,threat_rating,development_level,scenario_count,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,build_score_spread,weakest_build_id,strongest_build_id,average_rounds,p90_rounds,round_limit_count,round_limit_rate,effect_limit_hits,exceptions,average_player_survivors,average_enemy_survivors,enemy_cleave_hits_per_battle,enemy_summon_attempts_per_battle,enemy_summon_successes_per_battle,enemy_shields_granted_per_battle,enemy_shield_blocks_per_battle,enemy_furnace_transfers_per_battle,enemy_flourish_gained_per_battle
Map:map_startrail_highlands:f2_late_spell:f2_c5_spell_encounter:C5,Map,map_startrail_highlands,星轨高原,2,f2_late_spell,Normal,5,,,,f2_c5_spell_encounter,坠星爆发终检,4,C5,6,600,381,78,141,0.635,0.7525,0.595733,0.67255,0.24,B06_REFRESH,B03_SUMMON,1.803333,2,0,0,0,0,0.948333,0.155,1.603333,0,0,0,2,0,0
Map:map_startrail_highlands:f2_boss:f2_c6_boss_encounter:C5,Map,map_startrail_highlands,星轨高原,2,f2_boss,Boss,6,,,,f2_c6_boss_encounter,星轨大司辰,5,C5,6,600,406,56,138,0.676667,0.791667,0.638218,0.712867,0.305,B01_SHIELD,B06_REFRESH,1.63,2,0,0,0,0,1.068333,0.098333,1.273333,0,0,0,3,0,0
Map:map_soulforge_city:f3_opening_normal:f3_opening_encounter:C2,Map,map_soulforge_city,铸魂熔城,3,f3_opening_normal,Normal,1,,,,f3_opening_encounter,熔城门卫,3,C2,6,600,547,12,41,0.911667,0.945833,0.886262,0.931833,0.26,B03_SUMMON,B06_REFRESH,1.511667,2,0,0,0,0,1.906667,0.02,0,0,0,0.43,2.428333,0,0
Map:map_soulforge_city:f3_early_summon:f3_early_summon_encounter:C2,Map,map_soulforge_city,铸魂熔城,3,f3_early_summon,Normal,2,,,,f3_early_summon_encounter,熔甲反击阵,4,C2,6,600,521,22,57,0.868333,0.915833,0.838919,0.893061,0.335,B03_SUMMON,B06_REFRESH,1.631667,2,0,0,0,0,1.535,0.04,0,0,0,0.386667,3.386667,0,0
Map:map_soulforge_city:f3_normal:f3_normal_encounter:C2,Map,map_soulforge_city,铸魂熔城,3,f3_normal,Normal,2,,,,f3_normal_encounter,千环炉墙,4,C2,6,600,342,124,134,0.57,0.681667,0.530065,0.609045,0.28,B05_SPELL,B06_REFRESH,1.641667,2,0,0,0,0,0.853333,0.253333,0,0,0,3.823333,3.808333,1.493333,0
Map:map_soulforge_city:f3_mid_mechanic:f3_mid_mechanic_encounter:C4,Map,map_soulforge_city,铸魂熔城,3,f3_mid_mechanic,Normal,3,,,,f3_mid_mechanic_encounter,不熄接力炉,4,C4,6,600,120,338,142,0.2,0.318333,0.169947,0.23387,0.25,B05_SPELL,B02_BREAK,1.951667,3,0,0,0,0,0.245,0.686667,0,0,0,4.036667,5.831667,1.806667,0
Map:map_soulforge_city:f3_route_normal:f3_route_normal_encounter:C4,Map,map_soulforge_city,铸魂熔城,3,f3_route_normal,Normal,4,Adventure,,,f3_route_normal_encounter,熔核接力军,4,C4,6,600,71,395,134,0.118333,0.23,0.094884,0.146638,0.28,B05_SPELL,B04_DEATH,1.946667,3,0,0,0,0,0.14,0.843333,0,0,0,4.013333,5.745,1.823333,0
Map:map_soulforge_city:f3_elite:f3_c4_elite_encounter:C4,Map,map_soulforge_city,铸魂熔城,3,f3_elite,Elite,4,Aggressive,,,f3_c4_elite_encounter,千环裁决团,5,C4,6,600,26,546,28,0.043333,0.066667,0.029741,0.062736,0.215,B06_REFRESH,B01_SHIELD,1.876667,2,0,0,0,0,0.045,1.651667,0,0,0,3.26,5.816667,1.548333,0
Map:map_soulforge_city:f3_route_safe:f3_route_safe_encounter:C4,Map,map_soulforge_city,铸魂熔城,3,f3_route_safe,Normal,4,Conservative,,,f3_route_safe_encounter,千环守势军,3,C4,6,600,153,256,191,0.255,0.414167,0.221759,0.291358,0.275,B03_SUMMON,B04_DEATH,1.98,3,0,0,0,0,0.308333,0.475,0,0,0,3.925,5.816667,1.831667,0
Event:map_soulforge_city:final_hunt_f3:f3_c4_event_ambush_encounter:C4,Event,map_soulforge_city,铸魂熔城,3,final_hunt_f3,EventCombat,4,Event,final_hunt_f3,终阶猎杀,f3_c4_event_ambush_encounter,熔巷伏炉军,5,C4,6,600,45,448,107,0.075,0.164167,0.056522,0.098885,0.245,B05_SPELL,B04_DEATH,1.928333,2,0,0,0,0,0.085,1.003333,0,0,0,4.053333,5.735,1.806667,0
Map:map_soulforge_city:f3_late_forge:f3_c5_forge_encounter:C5,Map,map_soulforge_city,铸魂熔城,3,f3_late_forge,Normal,5,,,,f3_c5_forge_encounter,千环炉墙终检,5,C5,6,600,17,477,106,0.028333,0.116667,0.017764,0.044904,0.335,B01_SHIELD,B04_DEATH,1.856667,2,0,0,0,0,0.03,1.12,0,0,0,1.781667,3.451667,0,0
Map:map_soulforge_city:f3_late_wild:f3_c5_wild_encounter:C5,Map,map_soulforge_city,铸魂熔城,3,f3_late_wild,Normal,5,,,,f3_c5_wild_encounter,裂炉誓刃终检,5,C5,6,600,128,342,130,0.213333,0.321667,0.182431,0.247883,0.255,B02_BREAK,B06_REFRESH,2.073333,3,0,0,0,0,0.253333,0.818333,0,0,0,4.088333,6.883333,1.941667,0
Map:map_soulforge_city:f3_boss:f3_c6_boss_encounter:C5,Map,map_soulforge_city,铸魂熔城,3,f3_boss,Boss,6,,,,f3_c6_boss_encounter,铸魂不灭王,5,C5,6,600,80,402,118,0.133333,0.231667,0.108453,0.162879,0.335,B03_SUMMON,B06_REFRESH,2.005,3,0,0,0,0,0.158333,0.841667,0,0,0,4.14,5.918333,1.828333,0
