scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,effectLimitHits,exceptions
B05_SPELL_H__VS__B04_DEATH_H,B05_SPELL_H,B04_DEATH_H,H,B_PLAYER,1000,766,25,209,0.8705,0,1.146,2,189.44,272.819,1.182,0.025,0,0,2,0,0,33.93,0,0
B04_DEATH_H__VS__B06_REFRESH_H,B04_DEATH_H,B06_REFRESH_H,H,A_PLAYER,1000,0,992,8,0.004,0,1.089,1,338.386,158.296,0,2.011,0,0,0,4.905,34.704,0,0,0
B06_REFRESH_H__VS__B04_DEATH_H,B06_REFRESH_H,B04_DEATH_H,H,B_PLAYER,1000,991,0,9,0.9955,0,1.118,2,156.176,322.303,2.151,0,0,0,4.911,0,0,34.05,0,0
B05_SPELL_H__VS__B06_REFRESH_H,B05_SPELL_H,B06_REFRESH_H,H,A_PLAYER,1000,332,161,507,0.5855,0,2.005,2,240.062,176.836,0.353,0.166,0,0,2,5,0,0,0,0
B06_REFRESH_H__VS__B05_SPELL_H,B06_REFRESH_H,B05_SPELL_H,H,B_PLAYER,1000,239,321,440,0.459,0,1.98,2,178.814,242.938,0.26,0.351,0,0,5,2,0,0,0,0
B01_SHIELD_N__VS__D00_OUTPUT_DUMMY,B01_SHIELD_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,1000,278,0,722,0.639,0.722,29.992,30,85.176,0,5,1.054,0,0,0,0,2,0,0,0
B01_SHIELD_N__VS__D01_MECHANIC_PRESSURE_N,B01_SHIELD_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,1000,0,1000,0,0,0,2,2,92.613,114.96,0,5,0,0,7.531,0,2,0,0,0
B02_BREAK_N__VS__D00_OUTPUT_DUMMY,B02_BREAK_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,1000,1000,0,0,1,0,29.268,30,90,0,5,0,0,0,0,0,0,0,0,0
B02_BREAK_N__VS__D01_MECHANIC_PRESSURE_N,B02_BREAK_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,1000,0,1000,0,0,0,2,2,115.389,108,0,5,0,0,5.669,0,5,0,0,0
B03_SUMMON_N__VS__D00_OUTPUT_DUMMY,B03_SUMMON_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,1000,0,0,1000,0.5,1,30,30,79.899,0,5,3.222,0,0,0,0,0,0,0,0
B03_SUMMON_N__VS__D01_MECHANIC_PRESSURE_N,B03_SUMMON_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,1000,0,1000,0,0,0,1,1,56.502,120,0,5,0,0,0,0,5,0,0,0
B04_DEATH_N__VS__D00_OUTPUT_DUMMY,B04_DEATH_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,1000,0,0,1000,0.5,1,30,30,80.034,0,5,3.171,0,0,0,0,0,0,0,0
B04_DEATH_N__VS__D01_MECHANIC_PRESSURE_N,B04_DEATH_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,1000,0,1000,0,0,0,1,1,181.651,96,0,5,0,0,0,0,18,0,0,0
B05_SPELL_N__VS__D00_OUTPUT_DUMMY,B05_SPELL_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,1000,1000,0,0,1,0,19.994,20,133.826,0,5,0,0,0,0,0,0,0,0,0
