scenario_id,source,map_id,map_name,floor,node_id,node_type,combat_index,route_tag,event_id,event_name,encounter_id,encounter_name,threat_rating,build_id,development_level,battles,player_wins,enemy_wins,draws,player_win_rate,player_score_rate,win_ci95_low,win_ci95_high,average_rounds,p90_rounds,round_limit_count,effect_limit_hits,exceptions,average_player_survivors,average_enemy_survivors,enemy_cleave_hits_per_battle,enemy_summon_attempts_per_battle,enemy_summon_successes_per_battle,enemy_shields_granted_per_battle,enemy_shield_blocks_per_battle,enemy_furnace_transfers_per_battle,enemy_flourish_gained_per_battle
Event:map_wilderness:roadside_ambush_f1:f1_c4_event_ambush_encounter:B04_DEATH_F1_C4,Event,map_wilderness,荒野,1,roadside_ambush_f1,EventCombat,4,Event,roadside_ambush_f1,荒径伏击,f1_c4_event_ambush_encounter,盘根伏猎群,3,B04_DEATH,C4,100,57,8,35,0.57,0.745,0.472154,0.662667,1.45,2,0,0,0,0.61,0.08,0,0.99,0.99,0,0,0,0
Event:map_wilderness:roadside_ambush_f1:f1_c4_event_ambush_encounter:B05_SPELL_F1_C4,Event,map_wilderness,荒野,1,roadside_ambush_f1,EventCombat,4,Event,roadside_ambush_f1,荒径伏击,f1_c4_event_ambush_encounter,盘根伏猎群,3,B05_SPELL,C4,100,71,2,27,0.71,0.845,0.614611,0.789852,1.53,2,0,0,0,0.83,0.02,0,1,1,0,0,0,0
Event:map_wilderness:roadside_ambush_f1:f1_c4_event_ambush_encounter:B06_REFRESH_F1_C4,Event,map_wilderness,荒野,1,roadside_ambush_f1,EventCombat,4,Event,roadside_ambush_f1,荒径伏击,f1_c4_event_ambush_encounter,盘根伏猎群,3,B06_REFRESH,C4,100,48,24,28,0.48,0.62,0.384646,0.576834,1.38,2,0,0,0,0.51,0.24,0,0.89,0.89,0,0,0,0
Map:map_wilderness:f1_late_shield:f1_c5_shield_encounter:B01_SHIELD_F1_C5,Map,map_wilderness,荒野,1,f1_late_shield,Normal,5,,,,f1_c5_shield_encounter,迅羽踏潮,3,B01_SHIELD,C5,100,83,4,13,0.83,0.895,0.74452,0.891064,1.49,2,0,0,0,1.28,0.04,0,4,4,0,0,0,1
Map:map_wilderness:f1_late_shield:f1_c5_shield_encounter:B02_BREAK_F1_C5,Map,map_wilderness,荒野,1,f1_late_shield,Normal,5,,,,f1_c5_shield_encounter,迅羽踏潮,3,B02_BREAK,C5,100,89,2,9,0.89,0.935,0.813687,0.937458,1.07,1,0,0,0,1.96,0.02,0,4,4,0,0,0,1
Map:map_wilderness:f1_late_shield:f1_c5_shield_encounter:B03_SUMMON_F1_C5,Map,map_wilderness,荒野,1,f1_late_shield,Normal,5,,,,f1_c5_shield_encounter,迅羽踏潮,3,B03_SUMMON,C5,100,86,6,8,0.86,0.9,0.778628,0.914737,1.02,1,0,0,0,1.36,0.06,0,4,4,0,0,0,1
Map:map_wilderness:f1_late_shield:f1_c5_shield_encounter:B04_DEATH_F1_C5,Map,map_wilderness,荒野,1,f1_late_shield,Normal,5,,,,f1_c5_shield_encounter,迅羽踏潮,3,B04_DEATH,C5,100,100,0,0,1,1,0.963007,1,1.27,2,0,0,0,2.44,0,0,4,4,0,0,0,1
Map:map_wilderness:f1_late_shield:f1_c5_shield_encounter:B05_SPELL_F1_C5,Map,map_wilderness,荒野,1,f1_late_shield,Normal,5,,,,f1_c5_shield_encounter,迅羽踏潮,3,B05_SPELL,C5,100,85,4,11,0.85,0.905,0.767164,0.90694,1.28,2,0,0,0,1.63,0.07,0,4,4,0,0,0,1
Map:map_wilderness:f1_late_shield:f1_c5_shield_encounter:B06_REFRESH_F1_C5,Map,map_wilderness,荒野,1,f1_late_shield,Normal,5,,,,f1_c5_shield_encounter,迅羽踏潮,3,B06_REFRESH,C5,100,68,16,16,0.68,0.76,0.583374,0.763309,1.1,1,0,0,0,1.12,0.19,0,4,4,0,0,0,1
Map:map_wilderness:f1_late_summon:f1_c5_summon_encounter:B01_SHIELD_F1_C5,Map,map_wilderness,荒野,1,f1_late_summon,Normal,5,,,,f1_c5_summon_encounter,狐巢回响,3,B01_SHIELD,C5,100,94,5,1,0.94,0.945,0.875232,0.972214,1.64,2,0,0,0,1.65,0.09,0,5,5,0,0,0,0
